2023-02-15 21:03:23.487 INFO  http server listening on 0.0.0.0:5005 [HttpServer.cpp:336:http_server_run]
2023-02-15 21:03:23.488 INFO  EventLoop started, pid=5777 tid=5778 [HttpServer.cpp:316:loop_thread]
2023-02-15 21:03:23.488 INFO  EventLoop started, pid=5777 tid=5779 [HttpServer.cpp:316:loop_thread]
2023-02-15 21:03:23.488 INFO  EventLoop started, pid=5777 tid=5780 [HttpServer.cpp:316:loop_thread]
2023-02-15 21:03:23.488 INFO  EventLoop started, pid=5777 tid=5777 [HttpServer.cpp:316:loop_thread]
2023-02-15 21:03:23.488 INFO  EventLoop started, pid=5777 tid=5782 [HttpServer.cpp:316:loop_thread]
2023-02-15 21:03:23.488 INFO  EventLoop started, pid=5777 tid=5784 [HttpServer.cpp:316:loop_thread]
2023-02-15 21:03:23.488 INFO  EventLoop started, pid=5777 tid=5783 [HttpServer.cpp:316:loop_thread]
2023-02-15 21:03:23.488 INFO  EventLoop started, pid=5777 tid=5781 [HttpServer.cpp:316:loop_thread]
2023-02-15 21:03:45.360 INFO  [127.0.0.1:57698] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-02-15 21:03:45.360 INFO  [5777-5782][127.0.0.1:57698][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-02-15 21:04:04.157 INFO  [127.0.0.1:42232] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-02-15 21:04:04.158 INFO  [5777-5781][127.0.0.1:42232][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8390136 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8394532 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8398928 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8403324 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8407720 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8412116 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8416512 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8420908 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8425304 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8429700 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8434096 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8438492 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8442888 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8447284 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8451680 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8456076 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8460472 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8464868 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8469264 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8473660 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8478056 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8482452 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8486848 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8491244 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8495640 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8500036 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8504432 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8508828 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8513224 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8517620 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8522016 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8526412 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8530808 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8535204 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8539600 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8543996 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8548392 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8552788 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8557184 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8561580 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8565976 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8570372 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8574768 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8579164 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8583560 over high water 8388608 [nio.c:540:hio_write]
2023-02-15 21:04:16.612 WARN  write len=4396 enqueue 4396, bufsize=8587956 over high water 8388608 [nio.c:540:hio_write]
